objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"A Game of Thrones: The Card Game (Second Edition) – Wolves of the North","189169","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073555","5.73615","7.98129","3","0","1113","thing","A Game of Thrones: The Card Game (Second Edition) – Wolves of the North","2","4","120","120","60","2016","","","","","","","","","","expansion","","","","","","","","","","","","","","",""
"GearSeed","198855","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073557","5.50253","5.58855","1.5","14727","315","thing","GearSeed","2","4","30","30","15","2016","","","","","","","","","","standalone","","","","","","","","","","","","","","",""
"Ghost Stories","37046","7","","0","1","0","0","0","0","0","0","0","3","","","","","","21735165","7.18232","7.34325","2.9158","232","23728","thing","Ghost Stories","1","4","60","60","60","2008","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ginkgopolis","128271","0","","0","0","0","0","0","0","0","0","1","2","","","","","","46956560","6.99749","7.43452","2.9094","365","4038","thing","Ginkgopolis","1","5","45","45","45","2012","1,2,3,4,5","2,3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloom","12692","5","","0","1","0","0","0","0","0","0","0","3","","","","","","21768940","6.19805","6.35566","1.6379","1612","24028","thing","Gloom","2","4","60","60","60","2005","2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Gloomhaven","174430","8","","0","1","0","0","0","0","0","0","0","2","","","","","","30098639","8.58666","8.85649","3.8028","1","48719","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"GOSU 2: Tactics","123536","7","","0","1","0","0","0","0","0","0","0","1","","","","","","29051602","5.7723","7.03327","2.4118","3705","727","thing","GOSU 2: Tactics","2","4","45","45","45","2012","2,3","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Grand Austria Hotel","182874","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073564","7.48189","7.78871","3.2335","94","11385","thing","Grand Austria Hotel","2","4","120","120","60","2015","2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande","93","7","","0","0","0","0","0","0","0","0","1","3","","","","","","21784575","7.61472","7.7668","3.0639","60","21088","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"The Grizzled","171668","4","","0","1","0","0","0","0","0","0","0","3","","","","","","36073576","7.01662","7.2367","1.9228","350","17641","thing","The Grizzled","2","5","30","30","30","2015","3,4,5","4,5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Guildhall","132372","0","","0","0","0","0","0","0","0","0","1","3","","","","","","30581774","6.56688","6.95812","2.0694","863","4458","thing","Guildhall","2","4","45","45","30","2012","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Guillotine","116","6.5","","0","1","0","0","0","0","0","0","0","3","","","","","","21735392","6.41433","6.53428","1.2711","1115","25807","thing","Guillotine","2","5","30","30","30","1998","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Haggis","37628","6","","0","1","0","0","0","0","0","0","0","3","","","","","","30002257","6.59988","6.98847","2.1225","818","5698","thing","Haggis","2","3","45","45","45","2010","2,3","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanabi","98778","9","","0","1","0","0","0","0","0","0","0","3","","","","","","21735341","7.02611","7.11802","1.6989","334","55700","thing","Hanabi","2","5","25","25","25","2010","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hanamikoji","158600","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46956693","7.21238","7.55015","1.725","214","12369","thing","Hanamikoji","2","2","15","15","15","2013","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hemloch: Midnight Edition","172563","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054649","5.59448","7.01705","2.3077","6881","341","thing","Hemloch: Midnight Edition","2","2","30","30","30","2015","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hive Pocket","154597","8","","0","1","0","0","0","0","0","0","0","3","","","","","","28836364","7.27964","7.68412","2.3411","0","14732","thing","Hive Pocket","2","2","20","20","20","2010","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hocus","171261","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073588","5.78531","6.62274","2.2941","3589","1129","thing","Hocus","2","5","30","30","30","2016","3,4,5","3","","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Honshū","207336","0","","0","1","0","0","0","0","0","0","0","3","","","","","","47493228","6.61216","7.01998","1.9344","798","6050","thing","Honshū","2","5","30","30","30","2016","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Hordes of Grimoor","182228","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073592","5.54042","6.22762","2.125","10241","380","thing","Hordes of Grimoor","2","2","30","30","20","2015","2","2","10","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Hunters of Arcfall","142988","7","","0","1","0","0","0","0","0","0","0","3","","","","","","22173064","5.57299","6.20529","1.45","7835","384","thing","Hunters of Arcfall","2","6","30","30","30","2014","2,3,4,5","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Hyperborea","119788","7","","0","1","0","0","0","0","0","0","0","2","","","","","","25166882","6.77176","7.24187","3.175","606","5929","thing","Hyperborea","2","6","150","150","50","2014","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"IKI","177478","7","","0","1","0","0","0","0","0","0","0","1","","","","","","53068354","6.31224","7.55215","2.8983","1313","1270","thing","IKI","2","4","90","90","60","2015","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Imhotep","191862","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46956617","6.98166","7.21483","2.0215","380","13673","thing","Imhotep","2","4","40","40","40","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers","154203","8","","0","1","0","0","0","0","0","0","0","2","","","","","","24580576","7.29222","7.4561","2.7742","171","25083","thing","Imperial Settlers","1","4","90","90","45","2014","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Imperial Settlers: Atlanteans","177739","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073603","6.47523","7.44099","2.9231","0","6847","thing","Imperial Settlers: Atlanteans","1","5","90","90","45","2015","1,2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Inis","155821","0","","0","0","0","0","0","0","0","0","1","1","","","","","","37013345","7.44538","7.79151","2.8759","103","12920","thing","Inis","2","4","90","90","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Inis","155821","7","","0","1","0","0","0","0","0","0","0","3","","","","","","38116311","7.44538","7.79151","2.8759","103","12920","thing","Inis","2","4","90","90","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation","63888","7","","0","1","0","0","0","0","0","0","0","3","","","","","","21735127","7.06444","7.23844","2.7264","305","16987","thing","Innovation","2","4","60","60","45","2010","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Innovation: Echoes of the Past","92898","0","","0","1","0","0","0","0","0","0","0","3","","","","","","21734813","6.614","7.58447","2.8987","0","4861","thing","Innovation: Echoes of the Past","2","5","60","60","60","2011","2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Isle of Skye: From Chieftain to King","176494","9","","0","1","0","0","0","0","0","0","0","3","","","","","","30098616","7.28956","7.45013","2.236","173","22219","thing","Isle of Skye: From Chieftain to King","2","5","50","50","30","2015","2,3,4,5","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Islebound","185589","0","","0","0","0","0","0","0","0","0","1","3","","","","","","31253087","6.64676","7.2271","2.7188","747","5495","thing","Islebound","2","4","120","120","60","2016","2,3,4","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Istanbul","148949","7","","0","0","0","0","0","0","0","0","1","3","","","","","","28836289","7.44851","7.59707","2.5986","102","26683","thing","Istanbul","2","5","60","60","40","2014","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jaipur","54043","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28836276","7.39979","7.51577","1.5066","121","43482","thing","Jaipur","2","2","30","30","30","2009","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jamaica","28023","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21734963","6.89721","7.057","1.6527","461","19169","thing","Jamaica","2","6","60","60","30","2007","3,4,5,6","6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Jambo","12002","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30589177","6.79127","7.02494","2.0721","589","9633","thing","Jambo","2","2","45","45","45","2004","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Jarl: The Vikings Tile-Laying Game","170901","6","","0","0","0","0","0","0","0","0","0","3","","","","","","36073623","5.78761","6.97179","2.7","3557","1018","thing","Jarl: The Vikings Tile-Laying Game","2","2","25","25","15","2015","2","2","6+","","","","","","","standalone","","","","","","","","","","","","","","",""
"Johari","161965","0","","0","0","0","0","0","0","0","0","1","1","","","","","","30002891","5.6848","6.36415","2.2273","4712","1069","thing","Johari","2","4","90","90","60","2014","2,3,4","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Journey: Wrath of Demons","145599","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073625","5.6578","7.00897","3","5192","613","thing","Journey: Wrath of Demons","1","4","75","75","30","2015","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Keep","185276","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34054344","5.58888","6.34053","1.3846","7104","604","thing","Keep","2","5","20","20","10","2015","2,3,4","2","8","","","","","","","standalone","","","","","","","","","","","","","","",""
"Kemet","127023","7","","0","0","0","0","0","0","0","0","1","3","","","","","","21734875","7.50887","7.73364","2.9967","85","16689","thing","Kemet","2","5","120","120","90","2012","3,4,5","4,5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Keyflower","122515","9","","0","1","0","0","0","0","0","0","0","1","","","","","","24580563","7.65662","7.83814","3.3402","51","20138","thing","Keyflower","2","6","120","120","90","2012","2,3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Keyflower: The Farmers","144058","0","","0","1","0","0","0","0","0","0","0","3","","","","","","24834113","6.53403","7.87985","3.2759","0","5661","thing","Keyflower: The Farmers","2","6","120","120","90","2013","2,3,4,5,6","4","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Keyflower: The Merchants","163572","0","","0","1","0","0","0","0","0","0","0","3","","","","","","27485672","6.48473","8.14806","3.1379","0","4896","thing","Keyflower: The Merchants","2","6","90","90","90","2014","2,3,4,5,6","","12+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"The King Is Dead","172996","0","","0","1","0","0","0","0","0","0","0","1","","","","","","34054118","6.31457","7.13961","2.5714","1310","1955","thing","The King Is Dead","2","4","50","50","30","2015","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingdomino","204583","6","","0","1","0","0","0","0","0","0","0","3","","","","","","48588128","7.22584","7.3647","1.2151","210","39297","thing","Kingdomino","2","4","20","20","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingsburg","27162","6","","0","1","0","0","0","0","0","0","0","1","","","","","","21734855","7.06457","7.20738","2.43","304","16496","thing","Kingsburg","2","5","90","90","90","2007","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Kingsburg: To Forge a Realm","39775","0","","0","1","0","0","0","0","0","0","0","1","","","","","","21734860","7.28322","7.88499","2.4632","0","7755","thing","Kingsburg: To Forge a Realm","2","5","90","90","90","2009","2,3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Krosmaster: Arena","112138","7","","0","1","0","0","0","0","0","0","0","3","","","","","","21735262","6.38932","6.82682","2.6467","1155","6739","thing","Krosmaster: Arena","2","4","60","60","60","2012","2,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lancaster","96913","0","","0","0","0","0","0","0","0","0","1","3","","","","","","28836326","7.08965","7.43905","2.9905","287","7198","thing","Lancaster","2","5","60","60","60","2011","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lanterns: The Harvest Festival","160851","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073650","6.71639","6.94481","1.5567","667","14113","thing","Lanterns: The Harvest Festival","2","4","30","30","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Last Will","97842","7","","0","1","0","0","0","0","0","0","0","3","","","","","","25188119","6.96674","7.20343","2.6988","396","9661","thing","Last Will","2","5","75","75","45","2011","2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Legacy of Dragonholt","234669","0","","0","0","0","0","0","0","0","0","1","3","","","","","","47493531","6.47906","7.38875","1.1724","999","4052","thing","Legacy of Dragonholt","1","6","999","999","60","2017","1,2,3","1","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game","129437","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735116","7.34444","7.5953","2.4511","148","27360","thing","Legendary: A Marvel Deck Building Game","1","5","45","45","45","2012","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game – Dark City","137762","0","","0","1","0","0","0","0","0","0","0","3","","","","","","21735122","7.59295","8.29562","2.64","0","12801","thing","Legendary: A Marvel Deck Building Game – Dark City","1","5","60","60","60","2013","1,2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game – Fantastic Four","142020","0","","0","1","0","0","0","0","0","0","0","3","","","","","","22214191","7.05889","7.97433","2.4688","0","8422","thing","Legendary: A Marvel Deck Building Game – Fantastic Four","1","5","45","45","45","2013","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","","","","","","","","","","","",""
"Legendary: A Marvel Deck Building Game – Paint the Town Red","149922","0","","0","1","0","0","0","0","0","0","0","3","","","","","","24834132","7.06633","7.93464","2.5077","0","9361","thing","Legendary: A Marvel Deck Building Game – Paint the Town Red","1","5","45","45","45","2014","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Legends of Andor","127398","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073664","7.00868","7.22827","2.7583","357","21224","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Level 7 [Omega Protocol]","137649","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21734878","6.63048","7.49959","3.0879","769","3577","thing","Level 7 [Omega Protocol]","2","6","90","90","60","2013","2,3,4,5,6","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Libertalia","125618","6","","0","1","0","0","0","0","0","0","0","4","","","","","","21734911","6.99974","7.19134","2.2309","364","13174","thing","Libertalia","2","6","60","60","40","2012","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Linko!","153065","8","","0","1","0","0","0","0","0","0","0","3","","","","","","28836094","6.60705","7.01807","1.401","807","5684","thing","Linko!","2","5","20","20","20","2014","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"London","65781","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46956505","7.041","7.37604","2.8829","324","5622","thing","London","2","4","90","90","90","2010","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lord of the Fries","1536","6","","0","0","0","0","0","0","0","0","0","3","","","","","","35807591","5.72395","5.95752","1.2905","4194","3287","thing","Lord of the Fries","3","8","45","45","45","1998","3,4,5,6","4,5,6","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The Lord of the Rings: The Card Game","77423","8","","0","1","0","0","0","0","0","0","0","3","","","","","","21735198","7.40529","7.63546","3.1571","119","29223","thing","The Lord of the Rings: The Card Game","1","2","60","60","30","2011","1,2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Vegas","20437","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46956600","6.979","7.32649","2.3552","383","7823","thing","Lords of Vegas","2","4","90","90","60","2010","3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep","110327","7","","0","0","0","0","0","0","1","0","0","3","","","","","","21735108","7.63789","7.76191","2.4756","55","49924","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Lords of Waterdeep: Scoundrels of Skullport","134342","0","","0","1","0","0","0","0","0","0","0","3","","","","","","21735113","7.87072","8.21989","2.6504","0","23631","thing","Lords of Waterdeep: Scoundrels of Skullport","2","6","60","60","60","2013","2,3,4,5,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","","","",""
"Lorenzo il Magnifico","203993","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956500","7.4651","7.88288","3.2925","99","8530","thing","Lorenzo il Magnifico","2","4","120","120","60","2016","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Cities","50","6","","0","1","0","0","0","0","0","0","0","3","","","","","","23913903","7.06668","7.16318","1.5052","301","45556","thing","Lost Cities","2","2","30","30","30","1999","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Lost Legends","131891","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21774644","5.97004","6.482","2.4576","2426","2679","thing","Lost Legends","3","5","70","70","70","2013","3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Love Letter","129622","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735326","7.15655","7.24419","1.1928","247","82905","thing","Love Letter","2","4","20","20","20","2012","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Luna","70512","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956639","6.887","7.33897","3.3449","469","5021","thing","Luna","1","4","100","100","60","2010","1,2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Madame Ching","154443","7","","0","1","0","0","0","0","0","0","0","3","","","","","","28821538","5.94505","6.50366","2.1633","2538","1686","thing","Madame Ching","2","4","45","45","45","2014","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Madeira","95527","0","","0","0","0","0","0","0","0","0","1","3","","","","","","46956559","7.0421","7.6405","4.2746","323","4882","thing","Madeira","2","4","150","150","60","2013","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight Board Game","96848","9","","0","1","0","0","0","0","0","0","0","2","","","","","","21751500","7.88837","8.09909","4.2835","23","35963","thing","Mage Knight Board Game","1","4","240","240","60","2011","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Knight Board Game: The Lost Legion Expansion","130704","0","","0","1","0","0","0","0","0","0","0","1","","","","","","24580572","7.79774","8.8045","4.1854","0","11404","thing","Mage Knight Board Game: The Lost Legion Expansion","1","5","240","240","240","2012","1,2,3","1,2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mage Wars Academy","172503","0","","0","1","0","0","0","0","0","0","0","3","","","","","","34054274","6.22946","7.27866","2.96","1525","3084","thing","Mage Wars Academy","2","2","30","30","20","2015","2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Wars Arena","101721","7","","0","1","0","0","0","0","0","0","0","1","","","","","","21734828","7.24538","7.67717","3.6589","199","12244","thing","Mage Wars Arena","2","2","90","90","90","2012","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mage Wars Arena: Forcemaster vs Warlord Expansion Set","133798","0","","0","1","0","0","0","0","0","0","0","3","","","","","","36073701","6.56527","8.18281","3.641","0","3396","thing","Mage Wars Arena: Forcemaster vs Warlord Expansion Set","2","2","90","90","90","2013","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Mansions of Madness: Second Edition","205059","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956385","7.85896","8.122","2.672","29","29978","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mars Needs Mechanics","125854","0","","0","0","0","0","0","0","0","0","1","2","","","","","","30098644","5.58698","5.90951","1.9375","7196","816","thing","Mars Needs Mechanics","2","4","45","45","45","2013","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Marvel Dice Masters: Avengers vs. X-Men","148575","8","","0","1","0","0","0","0","0","0","0","3","","","","","","23404963","6.82392","7.19489","2.291","537","9587","thing","Marvel Dice Masters: Avengers vs. X-Men","2","2","60","60","60","2014","2","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Master of Orion: The Board Game","193322","0","","0","0","0","0","0","0","0","0","1","4","","","","","","37013436","6.06369","6.94787","2.3889","2026","1659","thing","Master of Orion: The Board Game","2","4","60","60","40","2016","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Mechs vs. Minions","209010","7","","0","1","0","0","0","0","0","0","0","4","","","","","","37013379","7.78391","8.09463","2.4141","35","17796","thing","Mechs vs. Minions","2","4","90","90","60","2016","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Medieval Academy","154386","6","","0","1","0","0","0","0","0","0","0","3","","","","","","36073718","6.53944","6.97302","1.7982","909","4921","thing","Medieval Academy","2","5","30","30","30","2014","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mice and Mystics","124708","6","","0","1","0","0","0","0","0","0","0","3","","","","","","21735217","7.12969","7.35025","2.6767","263","28970","thing","Mice and Mystics","1","4","90","90","60","2012","1,2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Millennium Blades","151347","8","","4","1","0","0","0","0","0","0","0","3","","","","","","34054101","7.07801","7.76934","3.6289","292","5445","thing","Millennium Blades","2","5","120","120","80","2016","2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Mission: Red Planet (Second Edition)","176920","8","","0","1","0","0","0","0","0","0","0","2","","","","","","30824996","7.18258","7.49133","2.2139","231","10422","thing","Mission: Red Planet (Second Edition)","2","6","90","90","45","2015","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Monikers","156546","7","","0","1","0","0","0","0","0","0","0","3","","","","","","34054343","6.9784","7.75212","1.05","384","5324","thing","Monikers","4","20","60","60","60","2015","4,5,6,7,8,9,10,11,12,14,16","6,8,10","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Morels","122298","8","","0","1","0","0","0","0","0","0","0","3","","","","","","30589319","6.72422","7.01897","1.7313","655","10873","thing","Morels","2","2","30","30","30","2012","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mr. Jack Pocket","72287","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073731","6.68327","6.93833","1.8197","708","11273","thing","Mr. Jack Pocket","2","2","15","15","15","2010","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Munchkin","1927","4","","0","1","0","0","0","0","0","0","0","3","","","","","","21735386","5.74444","5.91376","1.7968","3980","65615","thing","Munchkin","3","6","120","120","60","2001","3,4,5,6","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Myrmes","126792","6","","0","1","0","0","0","0","0","0","0","1","","","","","","24647520","6.8849","7.2976","3.4416","471","6040","thing","Myrmes","2","4","120","120","60","2012","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","113997","8","","0","1","0","0","0","0","0","0","0","3","","","","","","28836233","6.82949","7.22846","1.8639","527","4342","thing","Tajemnicze Domostwo","2","7","60","60","30","2013","2,3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Mysterium","181304","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073745","7.22941","7.36864","1.9068","207","39298","thing","Mysterium","2","7","42","42","42","2015","3,4,5,6,7","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
